Country,Starbucks,Teavana,EvolutionFresh,CoffeeHouse,TotalStore,CompanyOwned,Licensed,Franchise,JointVenture,COMMONWEALTH OF INDEPENDENT STATES,Population,PopulationDensity,GDP,Literacy,Phones
Switzerland,61,0,0,0,61,57,4,0,0,WESTERN EUROPE,7523934,"182,2",32700,99,"680,9"
Syria,0,0,0,0,0,0,0,0,0,NEAR EAST,18881361,102,3300,"76,9","153,8"
Taiwan,394,0,0,0,394,0,0,0,394,ASIA,23036087,"640,3",23400,"96,1",591
Tajikistan,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,7320815,"51,2",1000,"99,4","33,5"
Tanzania,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,37445392,"39,6",600,"78,2",4
Thailand,289,0,0,0,289,289,0,0,0,ASIA,64631595,"125,7",7400,"92,6","108,9"
Togo,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,5548702,"97,7",1500,"60,9","10,6"
Tonga,0,0,0,0,0,0,0,0,0,OCEANIA,114689,"153,3",2200,"98,5","97,7"
Trinidad and Tobago,3,0,0,0,3,0,3,0,0,LATIN AMERICA & CARIBBEAN,1065842,"207,9",9500,"98,6","303,5"
Tunisia,0,0,0,0,0,0,0,0,0,NORTHERN AFRICA,10175014,"62,2",6900,"74,2","123,6"
Turkey,326,0,0,0,326,0,326,0,0,NEAR EAST,70413958,"90,2",6700,"86,5","269,5"
Turkmenistan,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,5042920,"10,3",5800,98,"74,6"
Turks and Caicos Is,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,21152,"49,2",9600,98,"269,5"
Tuvalu,0,0,0,0,0,0,0,0,0,OCEANIA,11810,"454,2",1100,,"59,3"
Uganda,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,28195754,"119,5",1400,"69,9","3,6"
Ukraine,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,46710816,"77,4",5400,"99,7","259,9"
United Arab Emirates,144,0,0,0,144,0,144,0,0,NEAR EAST,2602713,"31,4",23200,"77,9","475,3"
United Kingdom,901,0,0,0,901,347,252,302,0,WESTERN EUROPE,60609153,"247,6",27700,99,"543,5"
United States of America,13311,294,2,1,13608,8226,5382,0,0,NORTHERN AMERICA,298000000,31,37800,97,898
Uruguay,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,3431932,"19,5",12800,98,"291,4"
Uzbekistan,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,27307134,61,1700,"99,3","62,9"
Vanuatu,0,0,0,0,0,0,0,0,0,OCEANIA,208869,"17,1",2900,53,"32,6"
Venezuela,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,25730435,"28,2",4800,"93,4","140,1"
Vietnam,25,0,0,0,25,0,25,0,0,ASIA,84402966,"256,1",2500,"90,3","187,7"
Virgin Islands,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,108605,"56,9",17200,,"652,8"
Wallis and Futuna,0,0,0,0,0,0,0,0,0,OCEANIA,16025,"58,5",3700,50,"118,6"
West Bank and Gaza,0,0,0,0,0,0,0,0,0,NEAR EAST,2460492,"419,9",800,,"145,2"
Western Sahara,0,0,0,0,0,0,0,0,0,NORTHERN AFRICA,273008,1,,,
Yemen,0,0,0,0,0,0,0,0,0,NEAR EAST,21456188,"40,6",800,"50,2","37,2"
Zambia,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,11502010,"15,3",800,"80,6","8,2"
Zimbabwe,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,12236805,"31,3",1900,"90,7","26,8"
